loopIndex,raw_genre,meta_genre,instrument,subinstrument,wav,json,mid,mel_path,feat_path,id,wav_path
98560.0,Rap&Hiphop,HipHop/Rap,Bass,Acoustic Bass,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_05.Bass_01.Acoustic Bass\Bass_Acoustic Bass_0098560_Rap&Hiphop_88BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_05.Bass_01.Acoustic Bass\Bass_Acoustic Bass_0098560_Rap&Hiphop_88BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_05.Bass_01.Acoustic Bass\Bass_Acoustic Bass_0098560_Rap&Hiphop_88BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0098560.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\98560.npy,,
,metal,Rock/Metal,,,,,,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\processed_mels\metal.00061.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\mfcc_npy\metal.00061.npy,metal.00061,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\genres_original\metal\metal.00061.wav
,disco,Pop/Dance/RnB,,,,,,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\processed_mels\disco.00020.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\mfcc_npy\disco.00020.npy,disco.00020,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\genres_original\disco\disco.00020.wav
62153.0,Rock&Metal,Rock/Metal,Guitar,Electric Guitar (jazz),C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_04.Guitar_03.Electric Guitar (jazz)\Guitar_Electric Guitar (jazz)_0062153_Rock&Metal_92BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_03.Electric Guitar (jazz)\Guitar_Electric Guitar (jazz)_0062153_Rock&Metal_92BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_03.Electric Guitar (jazz)\Guitar_Electric Guitar (jazz)_0062153_Rock&Metal_92BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0062153.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\62153.npy,,
65019.0,Rock&Metal,Rock/Metal,Guitar,Distortion Guitar,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_04.Guitar_07.Distortion Guitar\Guitar_Distortion Guitar_0065019_Rock&Metal_122BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_07.Distortion Guitar\Guitar_Distortion Guitar_0065019_Rock&Metal_122BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_07.Distortion Guitar\Guitar_Distortion Guitar_0065019_Rock&Metal_122BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0065019.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\65019.npy,,
107772.0,Rock&Metal,Rock/Metal,Strings,Cello,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_06.Strings_03.Cello\Strings_Cello_0107772_Rock&Metal_86BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_06.Strings_03.Cello\Strings_Cello_0107772_Rock&Metal_86BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_06.Strings_03.Cello\Strings_Cello_0107772_Rock&Metal_86BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0107772.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\107772.npy,,
108218.0,Rock&Metal,Rock/Metal,Strings,Tremolo Strings,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_06.Strings_05.Tremolo Strings\Strings_Tremolo Strings_0108218_Rock&Metal_150BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_06.Strings_05.Tremolo Strings\Strings_Tremolo Strings_0108218_Rock&Metal_150BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_06.Strings_05.Tremolo Strings\Strings_Tremolo Strings_0108218_Rock&Metal_150BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0108218.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\108218.npy,,
62603.0,Dance,Pop/Dance/RnB,Guitar,Electric Guitar (clean),C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0062603_Dance_126BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0062603_Dance_126BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0062603_Dance_126BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0062603.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\62603.npy,,
50167.0,Rock&Metal,Rock/Metal,Guitar,Acoustic Guitar (nylon),C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_04.Guitar_01.Acoustic Guitar (nylon)\Guitar_Acoustic Guitar (nylon)_0050167_Rock&Metal_64BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_01.Acoustic Guitar (nylon)\Guitar_Acoustic Guitar (nylon)_0050167_Rock&Metal_64BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_01.Acoustic Guitar (nylon)\Guitar_Acoustic Guitar (nylon)_0050167_Rock&Metal_64BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0050167.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\50167.npy,,
62468.0,RnB&Soul,Pop/Dance/RnB,Guitar,Electric Guitar (jazz),C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_04.Guitar_03.Electric Guitar (jazz)\Guitar_Electric Guitar (jazz)_0062468_RnB&Soul_82BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_03.Electric Guitar (jazz)\Guitar_Electric Guitar (jazz)_0062468_RnB&Soul_82BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_03.Electric Guitar (jazz)\Guitar_Electric Guitar (jazz)_0062468_RnB&Soul_82BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0062468.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\62468.npy,,
110521.0,RnB&Soul,Pop/Dance/RnB,Strings,String Ensemble 2,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_06.Strings_10.String Ensemble 2\Strings_String Ensemble 2_0110521_RnB&Soul_76BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_06.Strings_10.String Ensemble 2\Strings_String Ensemble 2_0110521_RnB&Soul_76BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_06.Strings_10.String Ensemble 2\Strings_String Ensemble 2_0110521_RnB&Soul_76BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0110521.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\110521.npy,,
,pop,Pop/Dance/RnB,,,,,,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\processed_mels\pop.00097.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\mfcc_npy\pop.00097.npy,pop.00097,C:\Users\anjen\Desktop\project\anjenn\genre_classification\GTZAN\genres_original\pop\pop.00097.wav
99138.0,Folk&Blues,Blues-like,Bass,Acoustic Bass,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_05.Bass_01.Acoustic Bass\Bass_Acoustic Bass_0099138_Folk&Blues_93BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_05.Bass_01.Acoustic Bass\Bass_Acoustic Bass_0099138_Folk&Blues_93BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_05.Bass_01.Acoustic Bass\Bass_Acoustic Bass_0099138_Folk&Blues_93BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0099138.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\99138.npy,,
63809.0,Dance,Pop/Dance/RnB,Guitar,Electric Guitar (muted),C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_04.Guitar_05.Electric Guitar (muted)\Guitar_Electric Guitar (muted)_0063809_Dance_97BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_05.Electric Guitar (muted)\Guitar_Electric Guitar (muted)_0063809_Dance_97BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_05.Electric Guitar (muted)\Guitar_Electric Guitar (muted)_0063809_Dance_97BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0063809.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\63809.npy,,
63375.0,Dance,Pop/Dance/RnB,Guitar,Electric Guitar (clean),C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0063375_Dance_116BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0063375_Dance_116BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0063375_Dance_116BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0063375.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\63375.npy,,
63068.0,Rap&Hiphop,HipHop/Rap,Guitar,Electric Guitar (clean),C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\01.원천데이터\TS_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0063068_Rap&Hiphop_116BPM.wav,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0063068_Rap&Hiphop_116BPM.json,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\02.라벨링데이터\TL_04.Guitar_04.Electric Guitar (clean)\Guitar_Electric Guitar (clean)_0063068_Rap&Hiphop_116BPM.mid,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\processed_mels\0063068.npy,C:\Users\anjen\Desktop\project\anjenn\genre_classification\k-music\Training\mfcc_npy\63068.npy,,
